Name,URL,Contract Length,Contract Value,Contract Date
Vladimir Tarasenko,/players/vladimir-tarasenko,"LENGTH: 8 YEARS,LENGTH: 3 YEARS","VALUE: $60,000,000,VALUE: $5,250,000","SIGNING DATE: July  7, 2015,SIGNING DATE: July  2, 2012"
Brandon Saad,/players/brandon-saad,"LENGTH: 6 YEARS,LENGTH: 3 YEARS","VALUE: $36,000,000,VALUE: $2,775,000","SIGNING DATE: July  3, 2015,SIGNING DATE: October  5, 2011"
Bo Horvat,/players/bo-horvat,"LENGTH: 6 YEARS,LENGTH: 3 YEARS","VALUE: $33,000,000,VALUE: $5,325,000","SIGNING DATE: September  8, 2017,SIGNING DATE: August  8, 2013"
Vincent Trocheck,/players/vincent-trocheck,"LENGTH: 6 YEARS,LENGTH: 3 YEARS","VALUE: $28,500,000,VALUE: $2,775,000","SIGNING DATE: July  2, 2016,SIGNING DATE: April 23, 2012"
Brenden Dillon,/players/brenden-dillon,"LENGTH: 4 YEARS,LENGTH: 3 YEARS,LENGTH: 1 YEAR,LENGTH: 5 YEARS","VALUE: $15,600,000,VALUE: $2,700,000,VALUE: $1,250,000,VALUE: $16,350,000","SIGNING DATE: October  6, 2020,SIGNING DATE: March  1, 2011,SIGNING DATE: October  5, 2014,SIGNING DATE: June 29, 2015"
Oskar Lindblom,/players/oskar-lindblom,"LENGTH: 3 YEARS,LENGTH: 3 YEARS","VALUE: $9,000,000,VALUE: $3,412,500","SIGNING DATE: July 22, 2020,SIGNING DATE: May 30, 2017"
Calle Järnkrok,/players/calle-jarnkrok,"LENGTH: 6 YEARS,LENGTH: 3 YEARS,LENGTH: 1 YEAR","VALUE: $12,000,000,VALUE: $2,700,000,VALUE: $735,000","SIGNING DATE: July 27, 2016,SIGNING DATE: May 31, 2012,SIGNING DATE: July 17, 2015"
Robert Bortuzzo,/players/robert-bortuzzo,"LENGTH: 3 YEARS,LENGTH: 3 YEARS,LENGTH: 1 YEAR,LENGTH: 2 YEARS,LENGTH: 2 YEARS,LENGTH: 2 YEARS","VALUE: $4,125,000,VALUE: $1,605,000,VALUE: $525,000,VALUE: $1,200,000,VALUE: $2,100,000,VALUE: $2,300,000","SIGNING DATE: December 15, 2018,SIGNING DATE: March 23, 2009,SIGNING DATE: August 30, 2012,SIGNING DATE: July 24, 2013,SIGNING DATE: July  2, 2015,SIGNING DATE: December 29, 2016"
Joe Snively,/players/joe-snively,LENGTH: 2 YEARS,"VALUE: $1,850,000","SIGNING DATE: March 18, 2019"
Adam Beckman,/players/adam-beckman,LENGTH: 3 YEARS,"VALUE: $2,775,000","SIGNING DATE: March 23, 2020"
